
,,,Salary,Salary,Salary,Salary,Salary,,
61,Luol Deng,MIA,$9714461,$10151612,,,,Cap Space,$9714461
62,Anderson Varejao,CLE,$9704595,,,,,Bird Rights,$4000000
63,Steve Nash,LAL,$9701000,,,,,Bird Rights,$9701000
64,Kendrick Perkins,OKC,$9654342,,,,,Bird Rights,$9154342
65,DeMar DeRozan,TOR,$9500000,$9500000,$9500000,,,Bird Rights,$28500000
66,Paul Millsap,ATL,$9500000,,,,,Cap Space,$9500000
67,Jeff Green,BOS,$9445000,$9445000,,,,Bird Rights,$9200000
68,Thaddeus Young,MIN,$9410870,$9971739,,,,Bird Rights,$9160870
69,Tyrus Thomas,CHO,$9388000,,,,,,
70,Tiago Splitter,SAS,$9250000,$8500000,$8250000,,,Bird Rights,$26000000
71,Jordan Hill,LAL,$9000000,$9000000,,,,Cap Space,$9000000
72,Lance Stephenson,CHO,$9000000,$9000000,$9400000,,,Cap Space,$18000000
73,Mike Conley,MEM,$8894216,$9588426,,,,Cap Space,$18082642
74,Trevor Ariza,HOU,$8579089,$8193030,$7806971,$7420912,,Bird Rights,$32000000
75,Marcus Thornton,BOS,$8575000,,,,,Cap Space,$8575000
76,Ryan Anderson,NOP,$8491500,$8500000,,,,Bird Rights,$16991500
77,Andray Blatche,WAS,$8471339,,,,,,
78,Omer Asik,NOP,$8374646,,,,,Cap Space,$8374646
79,Jeremy Lin,LAL,$8374646,,,,,Cap Space,$8374646
80,Monta Ellis,DAL,$8360000,$8720000,,,,Cap Space,$8360000
,,,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2014-15,2015-16,2016-17,2017-18,2018-19,Signed Using,Guaranteed
81,Channing Frye,ORL,$8175476,$7807579,$7456238,,,Cap Space,$32000000
82,O.J. Mayo,MIL,$8000000,$8000000,,,,Cap Space,$16000000
83,George Hill,IND,$8000000,$8000000,$8000000,,,Bird Rights,$24000000
84,Brandon Jennings,DET,$8000000,$8344497,,,,Bird Rights,$16344497
85,Taj Gibson,CHI,$8000000,$8500000,$8950000,,,Bird Rights,$25450000
86,Jeff Teague,ATL,$8000000,$8000000,$8000000,,,Bird Rights,$24000000
87,Dirk Nowitzki,DAL,$7974482,$8333334,$8692184,,,Cap Space,$16307816
88,Ersan Ilyasova,MIL,$7900000,$7900000,$8400000,,,Bird Rights,$16200000
89,Arron Afflalo,DEN,$7750000,$7937500,,,,Bird Rights,$7312500
90,Tayshaun Prince,MEM,$7707865,,,,,Bird Rights,$7707865
91,Josh Childress,PHO,$7610000,,,,,,
92,Boris Diaw,SAS,$7500000,$7000000,$6500000,$7000000,,Bird Rights,$17500000
